"schema","table","rows"
dbo,Obc_Outcome_Budget_Category_tb,1566691
dbo,Data_Registrations_tb,1462409
dbo,sts_2013_knlsystem_tb,1048321
dbo,sts_knlsystem_statistics_2013,1048315
DATA_CLOSING_ALL,DATA_PERSONS,466115
dbo,Data_Persons_tb,466115
dbo,Otd_Output_Target_Departments_tb,372540
dbo,Reg_Registration_tb,353496
DATA_CLOSING_ALL,Data_Registrations,345366
dbo,Reu_Registration_User_tb,293129
dbo,Fsa_Flow_Step_Action_tb,292141
dbo,Rfa_Registration_Flow_Action_tb,284463
dbo,Rec_Registration_Costs_tb,272978
dbo,KAL_KNLSYSTEM_ACCESS_LOG,252186
dbo,Obg_Outcome_Budget_tb,203250
dbo,Data_Obligations_tb,201780
dbo,SUCCESS_FACTORS_HISTORY_TB,191327
dbo,Obs_Outcome_Budget_Subcategory_tb,115696
dbo,MOODLE_GRADES_TB,114297
dbo,Kpb_Knl_Plan_Budget_tb,107616
dbo,Data_Outputs_tb,103464
dbo,Usr_User_tb,73687
dbo,Bie_Budget_Item_Executed,71310
dbo,Per_Person_tb,67105
dbo,Data_Registrations_2016_tb,63691
dbo,Bio_Budget_Item_Obligated,60327
DATA_CLOSING_ALL,Data_Obligations,60272
dbo,Rgt_Registration_Guest_tb,58439
dbo,Bud_Bud_E_tb,54320
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,54320
DATA_CLOSING_ALL,ODT_OUTPUT_DETAIL,54128
dbo,Oko_Outcome_KNLOfficer_tb,53716
dbo,Data_Activities_tb,51093
dbo,Gst_Guest_tb,47455
dbo,Ses_Sessions_tb,46622
dbo,Cti_City_tb,46294
dbo,Ins_Institution_tb,45864
dbo,SUCCESS_FACTORS_COMPLETION_TB,43165
dbo,Ota_Outcome_Target_Audience_tb,41466
dbo,Boo_Budget_Item_Operational,41223
dbo,Opl_Opus_Language_tb,40811
dbo,Occ_Outcome_Cost_Category_tb,40206
dbo,Tth_Ticket_Thread_tb,39349
dbo,knl_portal_tb,39156
dbo,Bou_Budget_Org_Unit_tb,36597
dbo,Lst_Logistic_Estimation_Item_tb,34538
dbo,SUCCESS_FACTORS_USER_DATA_TB,34268
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,30827
dbo,Out_Outcome_tb,27796
dbo,Sis_Sign_In_Sheet_tb,24495
dbo,Kat_Knl_Activity_Target_tb,22297
dbo,users_success_factors_tb,22228
dbo,Aao_Available_Activity_Outcome_tb,21205
DATA_CLOSING_ALL,Data_Outputs,21170
dbo,Sof_Source_Of_Funding_tb,20600
dbo,Ops_Opus_tb,20457
dbo,Rej_Records_Jobs,20185
dbo,Tck_Ticket_tb,19417
dbo,Tha_Registration_Hash_Approval_tb,17424
dbo,Prg_Person_Group_tb,17367
dbo,Lsu_Logistic_Estimation_Subitem_tb,17257
dbo,Oto_Output_Topic_tb,16690
dbo,Oul_Outcome_Language_tb,15023
dbo,Evt_Event_tb,14958
dbo,App_Activity_Person_Participant_tb,13255
dbo,Ptu_Program_Training_Plan_User_tb,12948
DATA_CLOSING_ALL,Data_Activities,12099
dbo,Kna_Knl_Plan_Activity_tb,12099
dbo,Oco_Outcome_Cost_tb,11373
dbo,Loc_Location_tb,11373
dbo,Bip_Budget_Item_Plan_Activity_tb,11108
DATA_CLOSING_ALL,ACT_ACTIVITIES,10928
dbo,Sat_Source_Of_Funding_Activity_tb,10641
dbo,Ext_External_Event_tb,10454
dbo,Tct_Teacher_Courses_Taxonomy_tb,10223
dbo,Uap_Unit_Assigned_Person_tb,9961
dbo,Sac_Source_Of_Funding_Account_tb,9942
dbo,Rsv_Reservation_tb,9349
dbo,Spf_Survey_Participants_Faults_tb,9210
dbo,Rft_Registration_Facilitator_tb,8863
dbo,Dbl_Dublin_Metadata_tb,8795
dbo,Atc_Attachment_tb,8795
dbo,Ivt_Invoice_Teacher_tb,8579
dbo,Ogc_Outcome_Budget_Group_Category_tb,8570
dbo,Fcl_Facilitator_tb,8263
dbo,Kpd_Knl_Plan_Deliverable_tb,8170
dbo,Bia_Budget_Item_Administrative,8004
dbo,Lsn_Language_Student_Need_tb,7660
dbo,Kao_Knl_Plan_Activity_Other_Resource_tb,7528
dbo,Bud_bude_temp_tb,7521
dbo,Olu_outputlogupdate_tb,6895
dbo,Lec_Logistic_Estimation_Country_tb,6604
dbo,Opt_Opus_Importation_tb,6495
dbo,Bso_Bud_E_Sync_Optima_tb,6333
dbo,TEMP_MOODLE_USERS_TB,6332
dbo,Phn_Phone_Number_tb,6076
dbo,Importation_User_tb,5370
dbo,Per_Person_tb_jp,5017
dbo,Usr_User_tb_jp,5017
dbo,bus_Biztalk_Users_tb,5006
dbo,Tca_Ticket_Attachment_tb,4780
dbo,Ust_User_Temporary_tb,4765
dbo,Ppn_Person_Phone_Number_tb,4743
dbo,Imp_Importation_History_tb,4183
dbo,Sls_Self_Learning_Session_tb,4161
dbo,Lgv_Language_Group_Evaluation_tb,4081
dbo,Lea_Logistic_Estimation_Flow_Action_tb,3985
dbo,Otg_Outcome_Budget_Group_tb,3889
dbo,Data_Plans_tb,3725
dbo,Trs_Terms_of_Reference_Responsible_tb,3326
dbo,Gra_Group_Access_tb,3314
dbo,Ivg_Invoice_Group_tb,3168
dbo,Tol_Terms_of_Reference_Language_tb,3062
dbo,Trv_Travel_Authorization_tb,2716
dbo,Kai_Knl_Plan_Allocation_Item_tb,2681
dbo,Adc_Administrative_Account_tb,2671
dbo,RosterVPS,2543
dbo,Ivp_Invoice_Private_tb,2400
dbo,Kda_Knl_Division_Flow_Action_tb,2270
dbo,Lsi_Language_Individual_Need_tb,2206
dbo,Unt_Unit_tb,2151
dbo,TEMP_KNL_MOODLE_USERS_TB,1994
dbo,Rsl_Service_Individual_Language_tb,1922
dbo,item_completion_success_factors_tb,1872
dbo,Tor_Terms_of_Reference_tb,1791
dbo,Lge_Language_Group_Event_tb,1708
dbo,Ivo_Invoice_Other_tb,1594
dbo,Omlt_OutputModule_Tranlation_tb,1589
dbo,Les_Logistic_Estimation_tb,1571
dbo,UTT_UNIT_TEMPORARY_TB,1514
dbo,Olsf_outputsfupdate_tb,1421
dbo,Inp_Institution_Phone_tb,1314
dbo,Llr_Lesson_Learned_Rating_tb,1219
dbo,Bus_Bud_E_Sync_tb,1203
dbo,Knd_Knl_Plan_Division_tb,1201
dbo,Trt_Travel_Authorization_Temporary_tb,1198
dbo,Iva_Invoice_Assessment_tb,1168
dbo,Ldp_Language_Development_Plan_tb,1096
dbo,Tax_Taxonomy_tb,1079
dbo,Tal_Taxonomy_Language_tb,1078
dbo,Okw_Output_Knowledge_Areas_tb,1075
dbo,Srv_Service_tb,1004
dbo,Lbr_Library_Product_tb,944
dbo,Oml_Output_Module_tb,913
dbo,Unt_Unit_tb_jp,887
dbo,bun_Biztalk_Units_tb,887
dbo,Toa_Terms_of_Reference_Attachment_tb,862
dbo,Importation_Unit_tb,848
dbo,Apt_Assign_Private_Teacher_tb,845
dbo,Tom_Topics_Outcome_Metadata_tb,819
dbo,Ifa_Interface_Action_tb,799
dbo,Moe_Moodle_Event_tb,786
dbo,Ifc_Interface_tb,781
dbo,mTt_monthyl_Temporary_table,743
dbo,Ler_Logistic_Estimation_Review_Request_tb,618
DATA_CLOSING_ALL,Data_Plans,612
dbo,Gel_Guest_Email_Log_tb,602
dbo,Pra_Person_Access_tb,554
dbo,Mos_Moodle_Service_tb,518
dbo,Pcl_Program_Course_Language_tb,514
dbo,Toc_Terms_of_Reference_Subcategory_tb,512
dbo,Llk_Lessons_Learned_Keywords_tb,501
dbo,Omdt_OutputMetadata_Translation_tb,471
dbo,user_temp,447
dbo,Prd_Product_tb,436
dbo,Lie_Language_Individual_Evaluation_tb,433
dbo,Kaf_Knl_Activity_Flow_Action_tb,430
dbo,Knp_Knl_Plan_Department_tb,428
dbo,Pco_Program_Course_tb,398
dbo,Kpa_Knl_Plan_Allocation_tb,389
dbo,LLc_Lessons_Learned_Contact_tb,292
dbo,Omd_Output_Metadata_tb,285
dbo,Tde_Tor_Deliverable_tb,248
dbo,Aar_Applicant_Assessment_Report_tb,241
dbo,Ctr_Country_tb,240
dbo,Sct_Self_Learning_Certificate_tb,218
dbo,Oip_Output_Indes_Program_tb,204
dbo,Tjf_Title_Job_Family_Matriz,201
dbo,Pom_Programs_Outcome_Metadata_tb,200
dbo,TEMP_GUEST_FROM_MOODLE_WITH_USER_ID,197
dbo,Isp_Invoice_Semiprivate_tb,182
dbo,Tea_Teacher_tb,181
dbo,Txg_Taxonomy_Genealogy_tb,117
dbo,Mau_Metadata_Author_tb,113
dbo,Tag_Taxonomy_Group_tb,111
dbo,Llb_Lessons_Learned_Body_tb,110
dbo,Llm_Lessons_Learned_Metadata_tb,109
dbo,Lls_Lessons_Learned_tb,109
dbo,Ptp_Program_Training_Plan_tb,106
dbo,Dep_Department_tb,105
dbo,Pft_Proficiency_Test_tb,101
dbo,Kdf_Knl_Department_Flow_Action_tb,97
dbo,Agi_Agenda_Item_tb,96
dbo,Omd_Output_Metadata_tb_old,96
dbo,bps_new_units,88
dbo,Lfs_Lessons_Learned_Flow_Step_Action_tb,81
dbo,Tsc_Tor_Subcategory_tb,80
dbo,Orl_Output_Relation_tb,78
dbo,Lgc_Language_Category_tb,76
dbo,Ipkt_KnowledgeAreas_Translation_tb,68
dbo,Ast_Assign_Semiprivate_Teacher_tb,61
dbo,Prr_Program_Role_tb,52
dbo,Spp_Semiprivate_Person_tb,51
dbo,Fls_Flow_Step_tb,51
dbo,Aaa_Available_Administrative_Account_tb,50
dbo,Slc_Self_Learning_Course_tb,50
dbo,Tcg_Ticket_Class_Group_tb,48
dbo,Tgp_Ticket_Group_Person_tb,47
dbo,Dep_Department_tb_jp,45
dbo,Grp_Group_tb,45
dbo,Wlc_Worklocation_Country_tb,42
dbo,Temp_Bud,38
dbo,Pcp_Program_Course_Precondition_tb,37
dbo,Indes_Related_Courses_tb,36
dbo,Ipk_Indes_Program_Knowledge_Areas_tb,34
dbo,Lng_Language_tb,33
dbo,Lof_Location_features_tb,33
dbo,Rot_Related_Outcomes_tb,26
dbo,Rrl_Region_Relationship_tb,25
dbo,Ipct_IndesProgramCompetencies_Translation_tb,22
dbo,Flw_Flow_tb,21
dbo,Caj_Catalog_Jobs,20
dbo,Lln_Language_Level_Need_tb,20
dbo,Yea_Year_tb,16
dbo,Sec_Section_tb,13
dbo,Trc_Tor_Category_tb,12
dbo,Ipc_Indes_Program_Competencies_tb,11
dbo,Iprt_Program_Translation_tb,10
dbo,knlPortalServices_out_oear_tb,10
dbo,Tig_Ticket_Group_tb,10
dbo,knlPortalServices_parameters_tb,9
dbo,Fll_Flow_Language_tb,9
dbo,Lnl_Language_Level_tb,7
dbo,Ipr_Indes_Program_tb,5
dbo,Rgn_Region_tb,5
dbo,Pro_Program_tb,5
dbo,Lcm_Lesson_Learned_Comment_tb,3
dbo,Ofa_Outcome_Flow_Action_tb,2
dbo,sysdiagrams,1
dbo,Sts_Scheduled_Tasks_Status_tb,0
dbo,sample_omd,0
dbo,Rev_Program_Reviews_tb,0
dbo,Prm_Program_Module_tb,0
dbo,Pre_Person_Restriction_tb,0
dbo,Olt_Outcome_Logistic_tb,0
dbo,Tec_Technical_Cooperation_tb,0
dbo,Uac_Unplanned_Activity_tb,0
dbo,Uao_Unplanned_Activity_Other_Resource_tb,0
dbo,Upd_Unplanned_Deliverable_tb,0
dbo,Udi_Unplanned_Deliverable_Budget_Item_tb,0
dbo,Ufa_Unplanned_Flow_Action_tb,0
dbo,Uta_Unplanned_Target_Audience_tb,0
dbo,Obi_Outcome_Budget_Item_tb,0
dbo,Obr_Outcome_Budget_Subcategory_Region_tb,0
dbo,Oba_Output_badges_tb,0
dbo,Obf_Outcome_Budget_Flow_Action_tb,0
dbo,DTT_DEPARTMENT_TEMPORARY_TB,0
dbo,Efa_Event_Facilitator_tb,0
dbo,Inc_Institution_Contact_tb,0
dbo,Fsl_Flow_Step_Language_tb,0
dbo,Cel_Cell_Phone_tb,0
dbo,bun_Biztalk_Units_tb_jp,0
dbo,bus_Biztalk_Users_tb_jp,0
dbo,Bgi_Budget_Item_tb,0
dbo,Boa_Budget_Org_Unit_Account_tb,0
